image_id,response,time_taken,,,
386_clear.png,0,2.636801481,0,True,
1607_conidiophore.png,2,1.872713566,2,True,
419_infected.png,1,2.221663713,1,True,
1513_infected.png,1,1.976131916,1,True,
132_clear.png,0,3.746999502,0,True,
1247_clear.png,0,1.465620518,0,True,
891_clear.png,0,2.17694068,0,True,
812_conidiophore.png,2,1.138455391,2,True,
1070_infected.png,1,1.201047182,1,True,
507_infected.png,1,3.228178501,1,True,
447_clear.png,0,2.42019701,0,True,
266_clear.png,1,3.706779242,0,False,
1614_infected.png,2,2.620419979,1,False,
1962_conidiophore.png,2,0.849328041,2,True,
103_clear.png,0,1.533199072,0,True,
1209_clear.png,1,2.083424568,0,False,
1812_infected.png,2,2.815718412,1,False,
1027_clear.png,0,4.194509745,0,True,
1493_clear.png,0,3.601563692,0,True,
1244_clear.png,2,3.187516928,0,False,
1545_conidiophore.png,2,0.63335681,2,True,
1783_infected.png,2,0.845321894,1,False,
1116_conidiophore.png,2,0.736132622,2,True,
1940_conidiophore.png,2,0.910615206,2,True,
2056_infected.png,1,3.307084084,1,True,
1407_clear.png,0,1.334536076,0,True,
2019_infected.png,1,2.736983776,1,True,
2021_infected.png,0,2.623551607,1,False,
1365_infected.png,1,2.001666784,1,True,
1394_conidiophore.png,2,1.366489172,2,True,
1745_clear.png,0,3.447584867,0,True,
2179_conidiophore.png,2,1.382553577,2,True,
513_clear.png,0,1.750465155,0,True,
2082_infected.png,0,2.337479353,1,False,
1983_infected.png,1,1.725391388,1,True,
277_infected.png,1,1.472973824,1,True,
439_conidiophore.png,2,1.293917179,2,True,
2177_clear.png,0,1.969496489,0,True,
1884_clear.png,1,1.838277102,0,False,
399_infected.png,2,3.35169673,1,False,
858_clear.png,0,1.545664787,0,True,
1211_infected.png,1,4.29658699,1,True,
221_clear.png,1,2.785171509,0,False,
1670_conidiophore.png,2,1.119049549,2,True,
2079_conidiophore.png,2,0.760894537,2,True,
116_conidiophore.png,2,0.673839808,2,True,
1912_clear.png,0,1.080305815,0,True,
2003_infected.png,2,4.02792716,1,False,
2074_infected.png,1,2.878292799,1,True,
1181_infected.png,1,1.767527819,1,True,
2140_clear.png,0,1.8011446,0,True,
1347_conidiophore.png,2,1.643105984,2,True,
1135_clear.png,0,1.287602663,0,True,
567_conidiophore.png,2,1.227290869,2,True,
1433_infected.png,1,1.250806093,1,True,
1408_conidiophore.png,2,0.946558237,2,True,
753_clear.png,0,1.131375313,0,True,
99_conidiophore.png,2,0.954384804,2,True,
2206_infected.png,2,1.536704302,1,False,
474_infected.png,1,1.288926363,1,True,
1767_conidiophore.png,2,1.29595232,2,True,
795_clear.png,0,1.499764681,0,True,
1452_conidiophore.png,2,1.184664726,2,True,
1652_clear.png,1,3.54174614,0,False,
1660_conidiophore.png,2,1.043993473,2,True,
334_infected.png,1,1.341282606,1,True,
437_conidiophore.png,2,0.777919292,2,True,
1754_conidiophore.png,2,3.24611783,2,True,
1084_clear.png,0,1.51181078,0,True,
924_clear.png,0,1.822123051,0,True,
114_clear.png,0,1.674093485,0,True,
790_infected.png,1,1.906444311,1,True,
682_clear.png,0,1.332597971,0,True,
1740_infected.png,1,0.81963706,1,True,
1164_infected.png,1,1.445945501,1,True,
511_conidiophore.png,2,1.053590059,2,True,
352_conidiophore.png,2,0.689714193,2,True,
1613_conidiophore.png,2,0.699593544,2,True,
4_conidiophore.png,2,0.709611893,2,True,
1126_conidiophore.png,2,0.850093365,2,True,
2014_clear.png,0,1.380100489,0,True,
1789_conidiophore.png,1,1.119553089,2,False,
17_conidiophore.png,2,0.947790146,2,True,
616_infected.png,0,1.725353479,1,False,
988_conidiophore.png,2,1.007612467,2,True,
1700_conidiophore.png,2,1.007401228,2,True,
1375_clear.png,0,1.284311533,0,True,
293_conidiophore.png,2,1.055086851,2,True,
365_clear.png,0,2.453397512,0,True,
1961_conidiophore.png,2,1.031930208,2,True,
1186_conidiophore.png,2,0.648742676,2,True,
174_clear.png,0,2.090169907,0,True,
130_infected.png,1,0.932846546,1,True,
1458_infected.png,1,1.363922358,1,True,
2137_infected.png,1,2.166644335,1,True,
1501_infected.png,1,2.490810633,1,True,
124_conidiophore.png,2,1.065473557,2,True,
1993_conidiophore.png,2,0.522618055,2,True,
2068_clear.png,0,1.210957527,0,True,
11_clear.png,0,1.346067667,0,True,
,,,,,
,,,,,84
