image_id,response,time_taken
522_conidiophore.png,2,255.32814717292786
1262_infected.png,2,1.5464813709259033
1456_infected.png,1,3.8335201740264893
1978_clear.png,0,3.557154655456543
1762_infected.png,1,1.4431302547454834
1190_infected.png,2,1.8396854400634766
988_conidiophore.png,2,1.2571778297424316
1378_conidiophore.png,2,0.7559058666229248
266_clear.png,0,1.8126952648162842
1760_clear.png,0,2.629023790359497
364_clear.png,1,1.5407793521881104
1961_conidiophore.png,2,1.3069772720336914
262_conidiophore.png,2,0.6958675384521484
1222_clear.png,1,1.764552116394043
1633_conidiophore.png,2,2.310936212539673
1120_clear.png,0,1.791811466217041
952_clear.png,0,2.2930026054382324
1399_infected.png,1,3.964947462081909
1197_clear.png,1,2.201969623565674
697_conidiophore.png,2,1.1592600345611572
1148_infected.png,2,2.4685301780700684
1186_conidiophore.png,2,0.9451379776000977
2086_clear.png,0,3.8535468578338623
104_clear.png,0,1.67118501663208
