image_id,identifier,response,time_taken,actual,correct,,
11_clear.png,teddy,1,12.66661358,0,FALSE,,
1164_infected.png,teddy,1,3.57332325,1,TRUE,,
1186_conidiophore.png,teddy,2,1.710788965,2,TRUE,,
988_conidiophore.png,teddy,2,1.118794918,2,TRUE,,
1740_infected.png,teddy,1,4.323046684,1,TRUE,,
616_infected.png,teddy,0,2.553366423,1,FALSE,,
2068_clear.png,teddy,0,4.074553013,0,TRUE,,
1513_infected.png,teddy,1,3.007508278,1,TRUE,,
1070_infected.png,teddy,2,2.961810589,1,FALSE,,
1812_infected.png,teddy,2,3.626632452,1,FALSE,,
753_clear.png,teddy,0,2.464661121,0,TRUE,,
174_clear.png,teddy,1,8.002305746,0,FALSE,,
2021_infected.png,teddy,2,2.942592621,1,FALSE,,
1940_conidiophore.png,teddy,2,3.591955423,2,TRUE,,
795_clear.png,teddy,0,5.012504816,0,TRUE,,
1884_clear.png,teddy,0,5.187954187,0,TRUE,,
1613_conidiophore.png,teddy,2,1.78375411,2,TRUE,,
386_clear.png,teddy,0,8.27234602,0,TRUE,,
1993_conidiophore.png,teddy,2,1.770510912,2,TRUE,,
2179_conidiophore.png,teddy,2,1.269693375,2,TRUE,,
99_conidiophore.png,teddy,2,0.959238291,2,TRUE,,
1745_clear.png,teddy,0,5.843724728,0,TRUE,,
1375_clear.png,teddy,0,4.548652887,0,TRUE,,
1458_infected.png,teddy,1,8.045291185,1,TRUE,,
437_conidiophore.png,teddy,2,1.899217367,2,TRUE,,
1181_infected.png,teddy,0,5.149510145,1,FALSE,,
266_clear.png,teddy,0,7.183289289,0,TRUE,,
1783_infected.png,teddy,2,2.65726757,1,FALSE,,
1126_conidiophore.png,teddy,2,1.402036667,2,TRUE,,
507_infected.png,teddy,0,8.503760815,1,FALSE,,
2206_infected.png,teddy,2,3.761790276,1,FALSE,,
1027_clear.png,teddy,0,3.688231945,0,TRUE,,
1983_infected.png,teddy,1,6.005372286,1,TRUE,,
419_infected.png,teddy,1,3.06166625,1,TRUE,,
17_conidiophore.png,teddy,2,1.700777292,2,TRUE,,
1700_conidiophore.png,teddy,2,0.831911325,2,TRUE,,
2137_infected.png,teddy,0,8.015884161,1,FALSE,,
1652_clear.png,teddy,0,4.593641043,0,TRUE,,
2177_clear.png,teddy,0,4.857611656,0,TRUE,,
334_infected.png,teddy,1,2.223702192,1,TRUE,,
116_conidiophore.png,teddy,2,1.275486469,2,TRUE,,
1211_infected.png,teddy,1,6.351689816,1,TRUE,,
1407_clear.png,teddy,0,2.554417849,0,TRUE,,
1408_conidiophore.png,teddy,2,1.612039089,2,TRUE,,
1116_conidiophore.png,teddy,2,1.871159077,2,TRUE,,
1670_conidiophore.png,teddy,2,2.096078157,2,TRUE,,
1912_clear.png,teddy,0,2.580046177,0,TRUE,,
1607_conidiophore.png,teddy,2,1.488748312,2,TRUE,,
221_clear.png,teddy,0,9.449011087,0,TRUE,,
365_clear.png,teddy,0,3.733097315,0,TRUE,,
1501_infected.png,teddy,1,4.359292984,1,TRUE,,
1247_clear.png,teddy,0,4.31763196,0,TRUE,,
1767_conidiophore.png,teddy,2,1.759190559,2,TRUE,,
1614_infected.png,teddy,1,15.14007235,1,TRUE,,
1545_conidiophore.png,teddy,2,1.606846571,2,TRUE,,
1493_clear.png,teddy,0,4.167941093,0,TRUE,,
114_clear.png,teddy,0,3.040398359,0,TRUE,,
1433_infected.png,teddy,1,16.31892252,1,TRUE,,
103_clear.png,teddy,0,4.352167845,0,TRUE,,
2003_infected.png,teddy,2,5.452609539,1,FALSE,,
447_clear.png,teddy,0,6.296274662,0,TRUE,,
2079_conidiophore.png,teddy,2,1.733732939,2,TRUE,,
790_infected.png,teddy,0,10.83404303,1,FALSE,,
2019_infected.png,teddy,1,4.068680286,1,TRUE,,
513_clear.png,teddy,0,2.322440863,0,TRUE,,
2056_infected.png,teddy,1,5.558181524,1,TRUE,,
399_infected.png,teddy,2,7.671455622,1,FALSE,,
1962_conidiophore.png,teddy,2,1.184832335,2,TRUE,,
1660_conidiophore.png,teddy,2,0.930427074,2,TRUE,,
352_conidiophore.png,teddy,2,1.112992525,2,TRUE,,
2014_clear.png,teddy,0,4.527001381,0,TRUE,,
891_clear.png,teddy,0,3.455051422,0,TRUE,,
858_clear.png,teddy,0,6.313121796,0,TRUE,,
567_conidiophore.png,teddy,2,1.671124697,2,TRUE,,
1394_conidiophore.png,teddy,2,14.38920188,2,TRUE,,
293_conidiophore.png,teddy,2,0.805020809,2,TRUE,,
812_conidiophore.png,teddy,2,0.981279373,2,TRUE,,
474_infected.png,teddy,1,3.593903065,1,TRUE,,
132_clear.png,teddy,0,2.750287533,0,TRUE,,
1244_clear.png,teddy,1,9.306455374,0,FALSE,,
1365_infected.png,teddy,1,6.747123241,1,TRUE,,
1209_clear.png,teddy,0,3.215240479,0,TRUE,,
1789_conidiophore.png,teddy,2,3.787234068,2,TRUE,,
2082_infected.png,teddy,0,5.355485678,1,FALSE,,
1754_conidiophore.png,teddy,2,4.919855833,2,TRUE,,
682_clear.png,teddy,0,1.577105761,0,TRUE,,
4_conidiophore.png,teddy,2,1.422194719,2,TRUE,,
1961_conidiophore.png,teddy,2,1.332320452,2,TRUE,,
130_infected.png,teddy,1,5.106788874,1,TRUE,,
1452_conidiophore.png,teddy,2,1.897551537,2,TRUE,,
1135_clear.png,teddy,0,2.200794458,0,TRUE,,
2074_infected.png,teddy,2,2.741123915,1,FALSE,,
1347_conidiophore.png,teddy,2,3.917521,2,TRUE,,
1084_clear.png,teddy,0,2.874444485,0,TRUE,,
277_infected.png,teddy,1,3.128521919,1,TRUE,,
2140_clear.png,teddy,0,1.710122347,0,TRUE,,
124_conidiophore.png,teddy,2,1.886185884,2,TRUE,,
439_conidiophore.png,teddy,2,1.512891769,2,TRUE,,
924_clear.png,teddy,0,4.305617809,0,TRUE,,
511_conidiophore.png,teddy,2,1.40041399,2,TRUE,,
,,,,,,,
,,,,,,Correct:,83
,,,,,,Incorrect:,17
,,,,,,Average Time:,4.089181874
,,,,,,Std_Dev:,3.110240131
