timestamp,idx,old_label,new_label,undo
2026-01-29 18:20:29,97,0,1,False
2026-01-29 18:20:33,172,0,1,False
2026-01-29 18:20:39,177,2,1,False
2026-01-29 18:20:39,243,2,1,False
2026-01-29 18:20:55,243,1,2,True
2026-01-29 18:21:00,243,2,1,False
2026-01-29 18:21:08,250,1,0,False
2026-01-29 18:21:41,576,1,2,False
2026-01-29 18:21:43,594,1,2,False
2026-01-29 18:21:51,596,2,1,False
2026-01-29 18:21:54,601,1,2,False
2026-01-29 18:22:06,708,2,1,False
2026-01-29 18:22:35,904,0,1,False
2026-01-29 18:22:39,925,2,1,False
2026-01-29 18:22:48,1039,2,1,False
2026-01-29 18:22:55,1067,2,1,False
2026-01-29 18:23:03,1090,1,0,False
2026-01-29 18:23:26,1386,1,2,False
2026-01-29 18:23:29,1406,0,1,False
2026-01-29 18:23:41,1422,1,2,False
2026-01-29 18:23:43,1458,0,1,False
2026-01-29 18:23:45,1470,1,2,False
2026-01-29 18:23:58,1543,2,1,False
2026-01-29 18:24:01,1576,1,2,False
2026-01-29 18:24:06,1627,2,1,False
2026-01-29 18:24:10,1689,1,1,False
2026-01-29 18:24:16,1752,0,1,False
2026-01-29 18:24:42,1970,1,2,False
2026-01-29 18:24:59,2038,1,0,False
2026-01-29 18:25:07,2084,1,2,False
2026-01-29 18:25:14,2091,1,2,False
2026-01-29 18:25:30,2405,2,1,False
2026-01-29 18:25:35,2416,1,0,False
2026-01-29 18:25:49,2581,1,2,False
2026-01-29 18:25:58,2730,1,2,False
2026-01-29 18:26:16,2928,2,1,False
2026-01-29 18:26:22,2946,1,2,False
2026-01-29 18:26:36,3019,1,0,False
2026-01-29 18:26:45,3080,2,1,False
2026-01-29 18:26:51,3101,1,0,False
2026-01-29 18:26:54,3107,1,2,False
2026-01-29 18:27:04,3179,2,1,False
2026-01-29 18:27:08,3260,1,2,False
2026-01-29 18:27:10,3280,1,2,False
2026-01-29 18:27:21,3416,2,1,False
2026-01-29 18:27:26,3474,1,2,False
2026-01-29 18:27:27,3491,1,2,False
